:ID(Subtopic),subtopic_name
69517,"""Suitability for Year-Round Use"""
69518,"""Time Sharing"""
69519,"""Duration of Vacancy"""
69520,"""Last Used as a Permanent Residence"""
69521,"""Homes Currently for Sale or Rent"""
69522,"""Reasons Extra Unit Owned"""
69523,"""Location of Extra Unit"""
69524,"""Nights Owner Spent at Extra Unit"""
69525,"""Nights Owner Rented Extra Unit"""
69526,"""Units in Structure"""
69527,"""Cooperatives and Condominiums"""
69528,"""Year Structure Built"""
69529,"""Stories in Structure"""
69530,"""Access to Structure"""
69531,"""Foundation Type"""
69532,"""Manufactured/Mobile Home Anchoring"""
69533,"""Manufactured/Mobile Home Size"""
69534,"""Manufactured/Mobile Homes in Group"""
69535,"""Rooms"""
69536,"""Bedrooms"""
69537,"""Bathrooms"""
69538,"""Square Footage of Unit"""
69539,"""Lot Size"""
69540,"""Selected Amenities"""
69541,"""Vehicle Parking"""
69542,"""Units Using Each Fuel"""
69543,"""Main Heating Equipment"""
69544,"""Main House Heating Fuel"""
69545,"""Primary Air Conditioning"""
69546,"""Secondary Air Conditioning"""
69547,"""Water Heating Fuel"""
69548,"""Kitchen Equipment"""
69549,"""Laundry Equipment"""
69550,"""Cooking Fuel"""
69551,"""Clothes Dryer Fuel"""
69552,"""Bodies of Water Within 1/2 Block"""
69553,"""Description of Area Within 1/2 Block"""
69554,"""Bars on Windows of Buildings Within 1/2 Block"""
69555,"""Vandalized or Abandoned Buildings Within 1/2 Block"""
69556,"""Trash, Litter, or Junk on Streets or Any Properties Within 1/2 Block"""
69557,"""Secured Communities"""
69558,"""Senior Citizen Communities"""
69559,"""Opinion of Neighborhood by Selected Characteristics"""
69560,"""Persons per Room"""
69561,"""Persons per Bedroom"""
69562,"""Square Feet per Person"""
69563,"""Overall Opinion of Present Neighborhood"""
69564,"""Overall Opinion of Present Home"""
69565,"""Primary Source of Water"""
69566,"""Type of Sewage System"""
69567,"""Number of Units Connected to Septic Tank or Cesspool"""
69568,"""Housing Adequacy"""
69569,"""Selected Deficiencies"""
69570,"""Flush Toilet Breakdowns"""
69571,"""Heating Problems"""
69572,"""Electric Fuses and Circuit Breakers"""
69573,"""Water Supply Stoppage"""
69574,"""Water Leakage During Last 12 Months"""
69575,"""External Building Conditions"""
69576,"""Mold"""
69577,"""Sewage Disposal Breakdowns"""
69578,"""Household Moves and Formation"""
69579,"""Moved more than 50 miles"""
69580,"""Structure Type of Previous Residence"""
69581,"""Tenure of Previous Residence"""
69582,"""Persons - Previous Residence"""
69583,"""Previous Home Owned or Rented by Current Household Member"""
69584,"""Change in Housing Costs"""
69585,"""Reasons for Leaving Previous Residence"""
69586,"""Housing Search Ended Earlier Than Intended"""
69587,"""How Respondent Found Current Unit"""
69588,"""Recent Mover Comparison to Previous Home"""
69589,"""Recent Mover Comparison to Previous Neighborhood"""
69590,"""Race and Hispanic Origin"""
69591,"""Age of Householder"""
69592,"""Educational Attainment of Householder"""
69593,"""Percent high school graduate or higher"""
69594,"""Percent bachelor's degree or higher"""
69595,"""Citizenship of Householder"""
69596,"""Year Householder Immigrated to the United States"""
69597,"""Year Householder Moved Into Unit"""
69598,"""Persons"""
69599,"""Household Composition by Age of Householder"""
